"","Date","Airtemp","AirTmp_14d","WtrTemp_14d","Mo","Yr"
"360",1982-12-26,14.1308709842528,5.17898880257945,7.78842947051848,12,1982
"361",1982-12-27,15.1383989407027,6.48173158405822,9.10886349896973,12,1982
"362",1982-12-28,13.9,7.45316015548679,10.0934840703983,12,1982
"363",1982-12-29,9.55620454907776,7.43574619470663,10.0758336280307,12,1982
"364",1982-12-30,4.3,7.01610531957381,9.65049402981362,12,1982
"365",1982-12-31,1.7,6.81610531957381,9.44777802981362,12,1982
"366",1983-01-01,4.6,7.13039103385952,9.76633174409933,1,1983
"367",1983-01-02,5.9,7.59467674814524,10.2369224583851,1,1983
"368",1983-01-03,4.1,7.6018196052881,10.2441623155279,1,1983
"369",1983-01-04,1.6,7.5518196052881,10.1934833155279,1,1983
"370",1983-01-05,2.6,7.68039103385952,10.3238007440993,1,1983
"371",1983-01-06,5.2,7.58039103385952,10.2224427440993,1,1983
"372",1983-01-07,8.8,7.43039103385952,10.0704057440993,1,1983
"373",1983-01-08,6.2,6.98039103385952,9.61429474409933,1,1983
"374",1983-01-09,5.2,6.34247167784146,8.96771244322655,1,1983
"375",1983-01-10,7.2,5.77544318207698,8.39298370048959,1,1983
"376",1983-01-11,8.9,5.41830032493413,8.03099084334674,1,1983
"377",1983-01-12,4.1,5.02857142857143,7.63596942857143,1,1983
"378",1983-01-13,-0.6,4.67857142857143,7.28121642857143,1,1983
"379",1983-01-14,2.1,4.70714285714286,7.31017585714286,1,1983
"380",1983-01-15,4.6,4.70714285714286,7.31017585714286,1,1983
"381",1983-01-16,0.2,4.3,6.897504,1,1983
"382",1983-01-17,-0.4,3.97857142857143,6.57171042857143,1,1983
"383",1983-01-18,-2.1,3.71428571428571,6.30383571428571,1,1983
"384",1983-01-19,-5,3.17142857142857,5.75360657142857,1,1983
"385",1983-01-20,-4.2,2.5,5.07306,1,1983
"386",1983-01-21,0,1.87142857142857,4.43595257142857,1,1983
"387",1983-01-22,3.8,1.7,4.262196,1,1983
"388",1983-01-23,3.5,1.57857142857143,4.13911842857143,1,1983
"389",1983-01-24,4.4,1.37857142857143,3.93640242857143,1,1983
"390",1983-01-25,3.5,0.992857142857143,3.54545014285714,1,1983
"391",1983-01-26,2.8,0.9,3.451332,1,1983
"392",1983-01-27,4.3,1.25,3.806085,1,1983
"393",1983-01-28,3.9,1.37857142857143,3.93640242857143,1,1983
"394",1983-01-29,3.3,1.28571428571429,3.84228428571429,1,1983
"395",1983-01-30,9.4,1.94285714285714,4.50835114285714,1,1983
"396",1983-01-31,8.7,2.59285714285714,5.16717814285714,1,1983
"397",1983-02-01,8.2,3.32857142857143,5.91288342857143,2,1983
"398",1983-02-02,13.7,4.66428571428571,7.26673671428571,2,1983
"399",1983-02-03,8.4,5.56428571428571,8.17895871428571,2,1983
"400",1983-02-04,2.8,5.76428571428571,8.38167471428571,2,1983
"401",1983-02-05,-0.3,5.47142857142857,8.08484057142857,2,1983
"402",1983-02-06,0,5.22142857142857,7.83144557142857,2,1983
"403",1983-02-07,2.9,5.11428571428571,7.72284771428571,2,1983
"404",1983-02-08,1.1,4.94285714285714,7.54909114285714,2,1983
