cale_date,sePmo,seNmo,segm
2011-12-15,75,1095,Segment 1
2011-12-15,50,1050,Segment 2
2011-12-15,50,1220,Segment 3
2011-12-15,70,1310,Segment 4
2012-01-15,NaN,1460.0000345,Segment 1
2012-01-15,NaN,1110,Segment 2
2012-01-15,NaN,1150.000006,Segment 3
2012-01-15,NaN,1310.0000025,Segment 4
2012-02-15,90.00000399999999,1520.0000260000002,Segment 1
2012-02-15,50.000001000000005,1069.999993,Segment 2
2012-02-15,29.999999,999.9999999999999,Segment 3
2012-02-15,39.999999,1327.5000005,Segment 4
2012-03-15,90.00000399999999,1260,Segment 1
2012-03-15,39.999999,760,Segment 2
2012-03-15,29.999999,880.0000100000001,Segment 3
2012-03-15,55,1275.00000625,Segment 4
2012-04-15,109.999999,1110.0000240000002,Segment 1
2012-04-15,51.66666633333333,1009.999998,Segment 2
2012-04-15,39.999999,860.000015,Segment 3
2012-04-15,55,1059.9999874999999,Segment 4
2012-05-15,91.25000175,1060.000012,Segment 1
2012-05-15,39.6249995,874.999999,Segment 2
2012-05-15,29.999999,804.9999905000001,Segment 3
2012-05-15,57.49999925,1162.4999945,Segment 4
2012-06-15,92.50000349999999,1090.00002825,Segment 1
2012-06-15,36.1249995,697.5,Segment 2
2012-06-15,24.9999995,690.0000069999999,Segment 3
2012-06-15,39.9999995,807.4999929999999,Segment 4
2012-07-15,124.999998,1260.00003,Segment 1
2012-07-15,39.8749995,875.00001,Segment 2
2012-07-15,34.999999,787.5000185000001,Segment 3
2012-07-15,54.99999975,852.49999,Segment 4
2012-08-15,127.50000125,1309.9999520000001,Segment 1
2012-08-15,43.3999996,839.9999835,Segment 2
2012-08-15,24.9999995,665.000001,Segment 3
2012-08-15,47.4999995,858.750001875,Segment 4
2012-09-15,108.7499995,1185.000042,Segment 1
2012-09-15,46.1249995,879.999975,Segment 2
2012-09-15,39.999999,859.999984,Segment 3
2012-09-15,72.49999975,984.9999955,Segment 4
2012-10-15,64.99999975,1007.50000125,Segment 1
2012-10-15,45.33333316666667,899.9999929999999,Segment 2
2012-10-15,39.9999995,900.000002,Segment 3
2012-10-15,39.9999995,919.99999725,Segment 4
2012-11-15,49.9999995,940.000006,Segment 1
2012-11-15,54.99999975,110,Segment 2
2012-11-15,50.0000005,950.0000124999999,Segment 3
2012-11-15,39.9999995,920.00000125,Segment 4
2012-12-15,55,990.000012,Segment 1
2012-12-15,50.0000005,1009.9999990000001,Segment 2
2012-12-15,39.9999995,989.9999939999999,Segment 3
2012-12-15,39.9999995,1209.9999967499998,Segment 4
2013-01-15,75,1400,Segment 1
